Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Rémy Boissier,fr FRA,MF,Rodez Aveyron,27,1994,15,14,1251,13.9,1,2,1,0,0,2,0,0.07,0.14,0.22,0.07,0.22,17,7,41.2,1.22,0.50,0.06,0.14,,83,92.7,88,8,1,26,0,1.27,16,15,+1,+0.07,+0.98,0,23,18,2,74,15,14,,,0,Ligue-2,60,2021-2022
Olivier Boissy,sn SEN,FW,Grenoble,22,1999,8,0,137,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,3,0,0.0,1.97,0.00,0.00,,,17,10.1,,0,8,17,0,1.00,0,4,-4,-2.63,-2.70,0,0,1,1,1,0,2,,,0,Ligue-2,60,2021-2022
Warren Bondo,fr FRA,MF,Nancy,18,2003,11,6,677,7.5,1,0,0,1,1,1,0,0.13,0.00,0.13,0.00,0.00,12,2,16.7,1.60,0.27,0.00,0.00,,62,50.1,87,4,5,31,0,0.64,4,14,-10,-1.33,-1.06,0,16,27,0,17,1,20,,,0,Ligue-2,60,2021-2022
Alexandre Bonnet,fr FRA,MF,Le Havre,35,1986,15,4,470,5.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,3,0,0.0,0.57,0.00,0.00,,,31,34.8,69,0,11,18,0,1.67,2,3,-1,-0.19,-0.91,0,4,6,0,18,4,7,,,0,Ligue-2,60,2021-2022
Ugo Bonnet,fr FRA,FW,Rodez Aveyron,28,1993,15,8,806,9.0,2,1,2,0,0,1,0,0.22,0.11,0.33,0.22,0.33,19,4,21.1,2.12,0.45,0.11,0.50,,54,59.7,78,4,7,26,0,1.27,8,11,-3,-0.33,-0.83,0,7,12,7,10,5,3,,,0,Ligue-2,60,2021-2022
Kenji-Van Boto,fr FRA,DF,Pau FC,25,1996,15,15,1319,14.7,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,9,3,33.3,0.61,0.20,0.00,0.00,,88,97.7,88,13,0,,0,1.40,14,16,-2,-0.14,-3.04,0,14,9,1,49,17,22,,,0,Ligue-2,60,2021-2022
Kouamé Botué,bf BFA,FW,Ajaccio,19,2002,11,6,533,5.9,1,0,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,15,7,46.7,2.53,1.18,0.07,0.14,,48,39.5,75,0,5,17,2,1.73,2,1,+1,+0.17,-0.71,0,13,13,5,4,1,3,,,0,Ligue-2,60,2021-2022
Dimitri Boudaud,fr FRA,MF,Dunkerque,34,1987,3,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,10,2.3,,0,3,10,3,0.67,0,0,0,0.00,+0.27,0,1,1,0,2,0,1,,,0,Ligue-2,60,2021-2022
Ismaëlben Boura,fr FRA,DF,Le Havre,21,2000,4,4,340,3.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,3,0,0.0,0.79,0.00,0.00,,,85,25.2,85,3,0,,0,1.25,3,3,0,0.00,-0.53,0,3,4,0,9,7,1,,,0,Ligue-2,60,2021-2022
Khalid Boutaïb,ma MAR,FW,Le Havre,34,1987,13,12,1033,11.5,3,0,3,0,0,3,1,0.26,0.00,0.26,0.26,0.26,24,8,33.3,2.09,0.70,0.13,0.38,,79,76.5,84,6,1,28,0,1.62,11,8,+3,+0.26,-0.59,0,26,16,8,1,6,18,,,0,Ligue-2,60,2021-2022
Bilal Boutobba,fr FRA,MF,Niort,23,1998,15,14,1239,13.8,3,5,3,0,0,1,0,0.22,0.36,0.58,0.22,0.58,19,11,57.9,1.38,0.80,0.16,0.27,,83,91.8,88,9,1,14,0,1.40,16,15,+1,+0.07,+0.88,0,15,25,4,54,12,12,,,0,Ligue-2,60,2021-2022
Aymen Boutoutaou,fr FRA,"FW,MF",Valenciennes,20,2001,6,5,344,3.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,8,2,25.0,2.09,0.52,0.00,0.00,,57,25.5,66,0,1,16,0,0.83,1,3,-2,-0.52,+0.19,0,5,12,0,5,2,5,,,0,Ligue-2,60,2021-2022
Samir Bouzar,fr FRA,DF,Nancy,22,1999,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,45,3.3,45,0,0,,1,0.00,0,3,-3,-6.00,-5.38,0,0,0,0,0,0,1,,,0,Ligue-2,60,2021-2022
Quentin Braat,fr FRA,GK,Niort,24,1997,15,15,1350,15.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,90,100.0,90,15,0,,0,1.40,16,16,0,0.00,,0,1,2,0,0,0,0,,,0,Ligue-2,60,2021-2022
Bilal Brahimi,fr FRA,"MF,DF",Dunkerque,21,2000,13,11,986,11.0,2,1,2,0,0,3,0,0.18,0.09,0.27,0.18,0.27,8,3,37.5,0.73,0.27,0.25,0.67,,76,73.0,86,7,2,22,1,1.00,9,11,-2,-0.18,+0.31,0,11,23,0,31,8,10,,,0,Ligue-2,60,2021-2022
Nicolas Bruneel,fr FRA,MF,Dunkerque,24,1997,12,7,588,6.5,1,0,1,0,0,2,0,0.15,0.00,0.15,0.15,0.15,9,1,11.1,1.38,0.15,0.11,1.00,,49,43.6,71,1,5,18,1,1.33,6,8,-2,-0.31,-0.07,0,11,20,0,3,5,14,,,0,Ligue-2,60,2021-2022
Lucas Buadés,fr FRA,MF,Rodez Aveyron,23,1997,14,13,1191,13.2,4,1,4,0,0,0,0,0.30,0.08,0.38,0.30,0.38,13,5,38.5,0.98,0.38,0.31,0.80,,85,88.2,90,12,1,24,0,1.36,16,11,+5,+0.38,+3.21,0,15,16,3,46,21,14,,,0,Ligue-2,60,2021-2022
Plamedi Buni Jorge,ao ANG,MF,Rodez Aveyron,21,2000,2,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,3,0.4,,0,2,3,1,3.00,0,0,0,0.00,0.00,0,0,0,0,0,0,0,,,0,Ligue-2,60,2021-2022
Orges Bunjaku,ch SUI,MF,Grenoble,20,2001,13,2,394,4.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,0.23,0.00,0.00,,,30,29.2,85,1,11,20,2,1.38,2,9,-7,-1.60,-1.98,0,9,7,0,9,6,2,,,0,Ligue-2,60,2021-2022
Patrick Burner,mq MTQ,DF,Nîmes,25,1996,14,12,1012,11.2,0,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,8,3,37.5,0.71,0.27,0.00,0.00,,72,75.0,81,6,2,23,1,1.21,13,15,-2,-0.18,-0.18,0,14,12,0,22,17,12,,,0,Ligue-2,60,2021-2022
Warren Caddy,fr FRA,FW,Paris FC,24,1997,12,7,569,6.3,2,0,1,1,2,2,0,0.32,0.00,0.32,0.16,0.16,13,4,30.8,2.06,0.63,0.08,0.25,,47,42.1,69,1,5,18,0,1.25,6,6,0,0.00,-0.35,0,10,4,3,2,0,2,,,0,Ligue-2,60,2021-2022
Hady Camara,gn GUI,DF,Guingamp,19,2002,6,5,504,5.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,3,0,0.0,0.54,0.00,0.00,,,84,37.3,90,5,1,54,3,1.17,5,8,-3,-0.54,-0.64,0,4,4,1,0,16,4,,,0,Ligue-2,60,2021-2022
Ousman Camara,fr FRA,"DF,MF",Paris FC,18,2003,14,10,1016,11.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,3,2,66.7,0.27,0.18,0.00,0.00,,73,75.3,90,10,4,29,1,1.64,16,9,+7,+0.62,+1.70,0,13,10,0,1,11,14,,,0,Ligue-2,60,2021-2022
Thibault Campanini,fr FRA,"DF,MF",Paris FC,23,1998,5,3,208,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,2,1,50.0,0.87,0.43,0.00,0.00,,42,15.4,62,0,2,12,6,1.20,2,2,0,0.00,-0.24,0,3,2,0,8,2,2,,,0,Ligue-2,60,2021-2022
Louis Carnot,fr FRA,MF,Guingamp,20,2001,6,1,141,1.6,1,0,1,0,0,1,0,0.64,0.00,0.64,0.64,0.64,1,1,100.0,0.64,0.64,1.00,1.00,,24,10.4,90,1,5,10,4,1.50,1,2,-1,-0.64,-0.56,0,4,2,0,3,4,4,,,0,Ligue-2,60,2021-2022
Josué Casimir,fr FRA,MF,Le Havre,20,2001,2,0,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,2,0,0.0,3.91,0.00,0.00,,,23,3.4,,0,2,23,1,0.50,0,0,0,0.00,-0.41,0,1,1,0,4,1,0,,,0,Ligue-2,60,2021-2022
Yohan Cassubie,fr FRA,"DF,MF",Niort,21,2000,7,5,454,5.0,1,0,1,0,0,2,0,0.20,0.00,0.20,0.20,0.20,3,1,33.3,0.59,0.20,0.33,1.00,,65,33.6,81,3,2,24,0,1.14,4,5,-1,-0.20,-0.30,0,9,0,0,3,9,14,,,0,Ligue-2,60,2021-2022
Yoann Cathline,fr FRA,MF,Guingamp,19,2002,4,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,2.65,0.00,0.00,,,9,2.5,,0,4,9,0,0.75,1,1,0,0.00,+0.14,0,2,1,0,3,0,0,,,0,Ligue-2,60,2021-2022
Julien Celestine,fr FRA,DF,Rodez Aveyron,24,1997,11,10,846,9.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,3,1,33.3,0.32,0.11,0.00,0.00,,77,62.7,84,7,1,5,3,1.55,13,12,+1,+0.11,+0.28,0,19,11,0,0,13,10,,,0,Ligue-2,60,2021-2022
Florian Chabrolle,fr FRA,MF,Ajaccio,23,1998,5,2,176,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,0.51,0.00,0.00,,,35,13.0,83,1,3,4,6,1.40,2,1,+1,+0.51,-0.10,0,5,4,0,0,1,3,,,0,Ligue-2,60,2021-2022
Mehdi Chahiri,ma MAR,"MF,FW",Caen,25,1996,9,8,748,8.3,3,0,3,0,0,0,0,0.36,0.00,0.36,0.36,0.36,21,7,33.3,2.53,0.84,0.14,0.43,,83,55.4,89,6,1,36,0,0.78,9,10,-1,-0.12,-0.27,0,6,11,1,22,4,8,,,0,Ligue-2,60,2021-2022
Gaëtan Charbonnier,fr FRA,FW,Auxerre,32,1988,12,11,1011,11.2,8,2,8,0,0,2,0,0.71,0.18,0.89,0.71,0.89,27,15,55.6,2.40,1.34,0.30,0.53,,84,74.9,89,10,1,28,0,1.67,18,12,+6,+0.53,-0.53,0,30,13,13,5,3,9,,,0,Ligue-2,60,2021-2022
Samir Chergui,fr FRA,DF,Paris FC,22,1999,15,14,1250,13.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,3,1,33.3,0.22,0.07,0.00,0.00,,83,92.6,88,13,1,14,0,1.60,18,15,+3,+0.22,+0.22,0,12,4,0,3,18,10,,,0,Ligue-2,60,2021-2022
Lucas Chevalier,fr FRA,GK,Valenciennes,20,2001,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,90,53.3,90,8,0,,0,1.38,8,11,-3,-0.37,+0.63,0,0,1,0,0,0,0,,,0,Ligue-2,60,2021-2022
Joris Chougrani,fr FRA,DF,Rodez Aveyron,30,1991,15,11,1040,11.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,11,2,18.2,0.95,0.17,0.00,0.00,,69,77.0,86,10,4,24,0,1.27,10,12,-2,-0.17,-0.75,0,10,8,0,16,11,7,,,0,Ligue-2,60,2021-2022
Yanis Cimignani,fr FRA,MF,Ajaccio,19,2002,14,11,938,10.4,1,1,1,0,0,4,0,0.10,0.10,0.19,0.10,0.19,11,4,36.4,1.06,0.38,0.09,0.25,,67,69.5,77,2,3,32,0,2.00,11,5,+6,+0.58,-0.08,0,19,5,3,20,10,8,,,0,Ligue-2,60,2021-2022
Amadou Ciss,sn SEN,MF,Amiens,22,1999,6,2,250,2.8,0,1,0,0,0,0,0,0.00,0.36,0.36,0.00,0.36,0,0,,0.00,0.00,,,,42,18.5,76,0,4,25,0,0.83,2,3,-1,-0.36,-0.28,0,3,3,0,5,0,3,,,0,Ligue-2,60,2021-2022
Saliou Ciss,sn SEN,"MF,DF",Nancy,32,1989,9,9,760,8.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,12,4,33.3,1.42,0.47,0.00,0.00,,84,56.3,84,6,0,,0,0.67,6,13,-7,-0.83,-0.07,0,9,17,0,19,13,7,,,0,Ligue-2,60,2021-2022
Ibrahim Cissé,sn SEN,DF,Dunkerque,25,1996,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,90,13.3,90,2,0,,1,0.50,2,3,-1,-0.50,-0.27,0,2,5,0,1,5,0,,,0,Ligue-2,60,2021-2022
Ibrahim Cissé,sn SEN,DF,Caen,25,1996,5,4,319,3.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,64,23.6,75,2,1,21,0,0.40,0,3,-3,-0.85,-1.11,0,1,3,0,0,7,1,,,0,Ligue-2,60,2021-2022
Mohamed Cissé,fr FRA,"MF,FW",Nancy,18,2003,10,6,562,6.2,0,1,0,0,0,0,0,0.00,0.16,0.16,0.00,0.16,13,1,7.7,2.08,0.16,0.00,0.00,,56,41.6,75,1,4,28,2,0.60,6,13,-7,-1.12,-0.55,0,10,22,10,37,1,11,,,0,Ligue-2,60,2021-2022
Nadjib Cisse,ml MLI,DF,Quevilly-Rouen,20,2000,2,0,49,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,25,3.6,,0,2,25,7,1.50,2,0,+2,+3.67,+4.23,0,0,1,0,0,0,2,,,0,Ligue-2,60,2021-2022
Sidi Cissé,fr FRA,FW,Niort,18,2003,7,0,73,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,1,100.0,1.23,1.23,0.00,0.00,,10,5.4,,0,7,10,3,1.29,1,2,-1,-1.23,-1.30,0,2,3,0,1,0,1,,,0,Ligue-2,60,2021-2022
Souleymane Cissé,sn SEN,MF,Grenoble,30,1991,6,4,363,4.0,0,1,0,0,0,2,0,0.00,0.25,0.25,0.00,0.25,3,1,33.3,0.74,0.25,0.00,0.00,,61,26.9,79,1,2,23,2,1.17,4,4,0,0.00,+0.27,0,3,4,0,4,6,2,,,0,Ligue-2,60,2021-2022
Till Cissokho,fr FRA,DF,Quevilly-Rouen,21,2000,13,13,1108,12.3,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,1,0,0.0,0.08,0.00,0.00,,,85,82.1,85,11,0,,0,1.00,11,17,-6,-0.49,-0.49,0,16,6,0,0,21,9,,,0,Ligue-2,60,2021-2022
Alexandre Coeff,fr FRA,"MF,DF",Auxerre,29,1992,9,8,714,7.9,0,1,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,3,0,0.0,0.38,0.00,0.00,,,79,52.9,87,6,1,22,1,2.00,13,5,+8,+1.01,+0.73,0,6,7,2,14,15,9,,,0,Ligue-2,60,2021-2022
Daniel Congré,fr FRA,DF,Dijon,36,1985,14,14,1260,14.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,10,2,20.0,0.71,0.14,0.00,0.00,,90,93.3,90,14,0,,0,1.14,13,18,-5,-0.36,+1.64,0,13,11,0,0,21,20,,,0,Ligue-2,60,2021-2022
Ibrahima Conté,gn GUI,DF,Niort,25,1996,12,12,1080,12.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,3,0,0.0,0.25,0.00,0.00,,,90,80.0,90,12,0,,3,1.25,10,12,-2,-0.17,-0.83,0,9,6,0,0,16,5,,,1,Ligue-2,60,2021-2022
Quentin Cornette,fr FRA,"MF,FW",Le Havre,27,1994,15,12,950,10.6,4,2,4,0,0,1,0,0.38,0.19,0.57,0.38,0.57,29,14,48.3,2.75,1.33,0.14,0.29,,63,70.4,76,3,3,14,0,1.67,13,7,+6,+0.57,+0.57,0,15,19,3,94,8,10,,,0,Ligue-2,60,2021-2022
Joris Correa,fr FRA,"MF,FW",Grenoble,27,1993,5,4,333,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,5,1,20.0,1.35,0.27,0.00,0.00,,67,24.7,72,1,1,45,0,1.40,3,3,0,0.00,+0.27,0,6,8,1,3,1,5,,,0,Ligue-2,60,2021-2022
Killian Corredor,fr FRA,FW,Rodez Aveyron,21,2000,3,0,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,1.96,0.00,0.00,,,15,3.4,,0,3,15,1,1.00,1,0,+1,+1.96,+2.03,0,0,1,0,2,0,0,,,0,Ligue-2,60,2021-2022
Nuno da Costa,cv CPV,"MF,FW",Caen,30,1991,4,2,199,2.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,4,1,25.0,1.81,0.45,0.00,0.00,,50,14.7,76,0,2,24,0,0.75,0,3,-3,-1.36,-1.59,0,4,6,1,2,2,2,,,0,Ligue-2,60,2021-2022
Senou Coulibaly,ml MLI,DF,Dijon,27,1994,13,12,1069,11.9,1,0,1,0,0,4,0,0.08,0.00,0.08,0.08,0.08,9,1,11.1,0.76,0.08,0.11,1.00,,82,79.2,89,11,1,6,0,1.00,9,15,-6,-0.51,-0.18,0,10,16,1,0,19,8,,,0,Ligue-2,60,2021-2022
Woyo Coulibaly,fr FRA,DF,Le Havre,22,1999,2,0,38,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,19,2.8,,0,2,19,0,1.00,0,0,0,0.00,-0.41,0,0,2,0,1,0,1,,,0,Ligue-2,60,2021-2022
Yoann Court,fr FRA,MF,Caen,31,1990,3,3,210,2.3,0,2,0,0,0,0,0,0.00,0.86,0.86,0.00,0.86,5,1,20.0,2.14,0.43,0.00,0.00,,70,15.6,70,1,0,,0,2.00,4,0,+4,+1.71,+2.03,0,5,3,0,9,2,5,,,0,Ligue-2,60,2021-2022
Gaëtan Courtet,fr FRA,FW,Ajaccio,32,1989,14,14,1205,13.4,3,2,3,0,0,6,0,0.22,0.15,0.37,0.22,0.37,29,14,48.3,2.17,1.05,0.10,0.21,,86,89.3,86,9,0,,0,1.93,16,7,+9,+0.67,+0.67,0,41,20,4,10,9,3,,,0,Ligue-2,60,2021-2022
Mathieu Coutadeur,fr FRA,MF,Ajaccio,35,1986,12,12,1073,11.9,0,2,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,7,1,14.3,0.59,0.08,0.00,0.00,,89,79.5,89,10,0,,0,1.92,12,5,+7,+0.59,-0.06,0,11,9,0,6,22,15,,,0,Ligue-2,60,2021-2022
Adrián Cubas,py PAR,MF,Nîmes,25,1996,11,9,822,9.1,0,2,0,0,0,3,0,0.00,0.22,0.22,0.00,0.22,2,0,0.0,0.22,0.00,0.00,,,75,60.9,86,5,2,26,0,1.45,10,9,+1,+0.11,+0.62,0,25,9,0,0,22,26,,,0,Ligue-2,60,2021-2022
Joffrey Cuffaut,fr FRA,DF,Valenciennes,33,1988,14,14,1244,13.8,1,0,0,1,1,2,0,0.07,0.00,0.07,0.00,0.00,15,6,40.0,1.09,0.43,0.00,0.00,,89,92.1,89,13,0,,0,1.14,11,18,-7,-0.51,+2.04,0,11,23,0,1,29,17,,,0,Ligue-2,60,2021-2022
Sessi D'Almeida,bj BEN,MF,Valenciennes,25,1995,7,6,459,5.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,3,0,0.0,0.59,0.00,0.00,,,66,34.0,75,3,1,11,3,0.71,3,4,-1,-0.20,+0.71,0,15,6,0,2,10,4,,,0,Ligue-2,60,2021-2022
Ottman Dadoune,fr FRA,"FW,MF",Quevilly-Rouen,27,1994,6,3,287,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,2,1,50.0,0.63,0.31,0.00,0.00,,48,21.3,81,2,3,14,2,1.17,2,4,-2,-0.63,-0.29,0,3,2,2,1,1,0,,,0,Ligue-2,60,2021-2022
Bradley Danger,fr FRA,MF,Rodez Aveyron,23,1998,14,14,1226,13.6,1,0,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,9,4,44.4,0.66,0.29,0.11,0.25,,88,90.8,88,11,0,,0,1.36,15,12,+3,+0.22,+2.40,0,20,24,0,6,18,21,,,0,Ligue-2,60,2021-2022
Quentin Daubin,fr FRA,MF,Pau FC,26,1995,14,14,1192,13.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,8,4,50.0,0.60,0.30,0.00,0.00,,85,88.3,85,10,0,,0,1.43,13,14,-1,-0.08,-0.08,0,21,27,0,0,29,38,,,0,Ligue-2,60,2021-2022
Florian David,gp GLP,FW,Rodez Aveyron,28,1992,14,7,605,6.7,2,1,2,0,0,1,0,0.30,0.15,0.45,0.30,0.45,26,12,46.2,3.87,1.79,0.08,0.17,,43,44.8,67,0,7,19,1,1.14,8,7,+1,+0.15,+0.27,0,3,5,4,11,4,1,,,0,Ligue-2,60,2021-2022
Lucas Deaux,fr FRA,MF,Dijon,32,1988,7,5,502,5.6,0,1,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,5,2,40.0,0.90,0.36,0.00,0.00,,72,37.2,87,4,2,33,0,0.43,5,11,-6,-1.08,-0.97,0,18,8,0,12,5,8,,,1,Ligue-2,60,2021-2022
Mathieu Debuchy,fr FRA,"MF,DF",Valenciennes,36,1985,11,10,885,9.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,10,1,10.0,1.02,0.10,0.00,0.00,,80,65.6,86,9,1,30,0,1.00,8,14,-6,-0.61,+0.16,0,17,10,0,42,28,22,,,0,Ligue-2,60,2021-2022
Brecht Dejaegere,be BEL,MF,Toulouse,30,1991,14,14,1052,11.7,2,3,2,0,0,3,0,0.17,0.26,0.43,0.17,0.43,15,4,26.7,1.28,0.34,0.13,0.50,,75,77.9,75,4,0,,0,1.93,22,10,+12,+1.03,-1.09,0,29,24,2,18,14,9,,,0,Ligue-2,60,2021-2022
Nathan Dekoke,fr FRA,DF,Quevilly-Rouen,25,1996,10,10,860,9.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,0.10,0.00,0.00,,,86,63.7,86,7,0,,1,1.10,7,12,-5,-0.52,-0.34,0,13,6,0,7,14,15,,,0,Ligue-2,60,2021-2022
