Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,League Name,League ID,Season
1.0,Fri,2017-08-18,20:15,Leganés,1.3,1–0,0.9,Alavés,9231.0,Estadio Municipal de Butarque,JosÃ© Munuera,Match Report,,La-Liga,12,2017-2018
1.0,Fri,2017-08-18,22:15,Valencia,2.0,1–0,0.4,Las Palmas,35971.0,Estadio de Mestalla,JesÃºs Gil,Match Report,,La-Liga,12,2017-2018
1.0,Sat,2017-08-19,18:15,Celta Vigo,1.2,2–3,2.1,Real Sociedad,16961.0,Estadio de BalaÃ­dos,Antonio MatÃ©u Lahoz,Match Report,,La-Liga,12,2017-2018
1.0,Sat,2017-08-19,20:15,Girona,2.4,2–2,0.7,Atlético Madrid,11511.0,Estadi Municipal de Montilivi,Juan MartÃ­nez,Match Report,,La-Liga,12,2017-2018
1.0,Sat,2017-08-19,22:15,Sevilla,1.9,1–1,1.2,Espanyol,30487.0,Estadio RamÃ³n SÃ¡nchez PizjuÃ¡n,Alejandro HernÃ¡ndez,Match Report,,La-Liga,12,2017-2018
1.0,Sun,2017-08-20,18:15,Athletic Club,0.9,0–0,0.4,Getafe,37884.0,San MamÃ©s,Mario Melero,Match Report,,La-Liga,12,2017-2018
1.0,Sun,2017-08-20,20:15,Barcelona,1.7,2–0,0.3,Betis,56480.0,Camp Nou,Daniel Trujillo,Match Report,,La-Liga,12,2017-2018
1.0,Sun,2017-08-20,22:15,La Coruña,1.9,0–3,2.4,Real Madrid,27770.0,Estadio Municipal de Riazor,JosÃ© GonzÃ¡lez,Match Report,,La-Liga,12,2017-2018
1.0,Mon,2017-08-21,20:15,Levante,1.6,1–0,0.6,Villarreal,19500.0,Estadio Ciudad de Valencia,Alfonso Ãlvarez,Match Report,,La-Liga,12,2017-2018
1.0,Mon,2017-08-21,22:00,Málaga,0.6,0–1,0.8,Eibar,24753.0,Estadio La Rosaleda,David MediÃ©,Match Report,,La-Liga,12,2017-2018
,,,,,,,,,,,,,,La-Liga,12,2017-2018
2.0,Fri,2017-08-25,20:15,Real Sociedad,3.0,3–0,0.2,Villarreal,19931.0,Estadio Municipal de Anoeta,Javier Estrada,Match Report,,La-Liga,12,2017-2018
2.0,Fri,2017-08-25,22:00,Betis,0.9,2–1,0.5,Celta Vigo,45761.0,Estadio Benito VillamarÃ­n,Ricardo de Burgos,Match Report,,La-Liga,12,2017-2018
2.0,Sat,2017-08-26,18:15,Alavés,0.7,0–2,2.5,Barcelona,19356.0,Estadio de Mendizorroza,Carlos del Cerro,Match Report,,La-Liga,12,2017-2018
2.0,Sat,2017-08-26,20:15,Girona,1.9,1–0,0.4,Málaga,9966.0,Estadi Municipal de Montilivi,Santiago Jaime,Match Report,,La-Liga,12,2017-2018
2.0,Sat,2017-08-26,20:15,Levante,2.5,2–2,1.2,La Coruña,17370.0,Estadio Ciudad de Valencia,Alberola Rojas,Match Report,,La-Liga,12,2017-2018
2.0,Sat,2017-08-26,21:15,Las Palmas,1.3,1–5,0.5,Atlético Madrid,20384.0,Estadio de Gran Canaria,Ignacio Iglesias,Match Report,,La-Liga,12,2017-2018
2.0,Sun,2017-08-27,18:15,Espanyol,1.5,0–1,1.9,Leganés,18383.0,RCDE Stadium,Pablo GonzÃ¡lez,Match Report,,La-Liga,12,2017-2018
2.0,Sun,2017-08-27,18:15,Eibar,1.1,0–1,0.6,Athletic Club,5932.0,Estadio Municipal de IpurÃºa,JosÃ© SÃ¡nchez,Match Report,,La-Liga,12,2017-2018
2.0,Sun,2017-08-27,20:15,Getafe,1.8,0–1,1.0,Sevilla,10039.0,Coliseum Alfonso PÃ©rez,Alberto Undiano,Match Report,,La-Liga,12,2017-2018
2.0,Sun,2017-08-27,22:15,Real Madrid,3.0,2–2,1.4,Valencia,65107.0,Estadio Santiago BernabÃ©u,David FernÃ¡ndez,Match Report,,La-Liga,12,2017-2018
3.0,Fri,2017-09-08,21:00,Leganés,1.5,1–2,0.5,Getafe,11454.0,Estadio Municipal de Butarque,Alfonso Ãlvarez,Match Report,,La-Liga,12,2017-2018
3.0,Sat,2017-09-09,13:00,Real Madrid,2.1,1–1,0.7,Levante,67789.0,Estadio Santiago BernabÃ©u,Alejandro HernÃ¡ndez,Match Report,,La-Liga,12,2017-2018
3.0,Sat,2017-09-09,16:15,Valencia,0.6,0–0,0.7,Atlético Madrid,43859.0,Estadio de Mestalla,JosÃ© GonzÃ¡lez,Match Report,,La-Liga,12,2017-2018
3.0,Sat,2017-09-09,18:30,Sevilla,2.6,3–0,0.6,Eibar,32469.0,Estadio RamÃ³n SÃ¡nchez PizjuÃ¡n,Antonio MatÃ©u Lahoz,Match Report,,La-Liga,12,2017-2018
3.0,Sat,2017-09-09,20:45,Barcelona,3.5,5–0,0.7,Espanyol,72857.0,Camp Nou,JesÃºs Gil,Match Report,,La-Liga,12,2017-2018
3.0,Sun,2017-09-10,12:00,La Coruña,1.0,2–4,2.0,Real Sociedad,21942.0,Estadio Municipal de Riazor,JosÃ© Munuera,Match Report,,La-Liga,12,2017-2018
3.0,Sun,2017-09-10,16:15,Athletic Club,1.0,2–0,0.5,Girona,39952.0,San MamÃ©s,Daniel Trujillo,Match Report,,La-Liga,12,2017-2018
3.0,Sun,2017-09-10,18:30,Celta Vigo,2.1,1–0,0.5,Alavés,17384.0,Estadio de BalaÃ­dos,Mario Melero,Match Report,,La-Liga,12,2017-2018
3.0,Sun,2017-09-10,20:45,Villarreal,1.5,3–1,0.7,Betis,18638.0,Estadio de la CerÃ¡mica,David MediÃ©,Match Report,,La-Liga,12,2017-2018
3.0,Mon,2017-09-11,21:00,Málaga,0.7,1–3,1.3,Las Palmas,22697.0,Estadio La Rosaleda,Xavi Estrada,Match Report,,La-Liga,12,2017-2018
4.0,Fri,2017-09-15,21:00,Eibar,0.7,1–0,0.2,Leganés,4986.0,Estadio Municipal de IpurÃºa,Juan MartÃ­nez,Match Report,,La-Liga,12,2017-2018
4.0,Sat,2017-09-16,13:00,Levante,0.7,1–1,1.3,Valencia,23084.0,Estadio Ciudad de Valencia,Carlos del Cerro,Match Report,,La-Liga,12,2017-2018
4.0,Sat,2017-09-16,16:15,Getafe,1.2,1–2,0.6,Barcelona,15164.0,Coliseum Alfonso PÃ©rez,David FernÃ¡ndez,Match Report,,La-Liga,12,2017-2018
4.0,Sat,2017-09-16,18:30,Betis,1.8,2–1,0.5,La Coruña,46174.0,Estadio Benito VillamarÃ­n,Alberto Undiano,Match Report,,La-Liga,12,2017-2018
4.0,Sat,2017-09-16,20:45,Atlético Madrid,1.6,1–0,0.4,Málaga,63114.0,Estadio Wanda Metropolitano,JosÃ© SÃ¡nchez,Match Report,,La-Liga,12,2017-2018
4.0,Sun,2017-09-17,12:00,Alavés,0.4,0–3,1.6,Villarreal,18124.0,Estadio de Mendizorroza,Santiago Jaime,Match Report,,La-Liga,12,2017-2018
4.0,Sun,2017-09-17,16:15,Girona,1.8,0–1,1.0,Sevilla,11032.0,Estadi Municipal de Montilivi,Ricardo de Burgos,Match Report,,La-Liga,12,2017-2018
4.0,Sun,2017-09-17,17:30,Las Palmas,0.9,1–0,1.3,Athletic Club,19213.0,Estadio de Gran Canaria,Pablo GonzÃ¡lez,Match Report,,La-Liga,12,2017-2018
4.0,Sun,2017-09-17,20:45,Real Sociedad,0.8,1–3,1.6,Real Madrid,24966.0,Estadio Municipal de Anoeta,Ignacio Iglesias,Match Report,,La-Liga,12,2017-2018
4.0,Mon,2017-09-18,21:00,Espanyol,0.9,2–1,1.0,Celta Vigo,15026.0,RCDE Stadium,Alberola Rojas,Match Report,,La-Liga,12,2017-2018
5.0,Tue,2017-09-19,20:00,Valencia,3.1,5–0,0.8,Málaga,36215.0,Estadio de Mestalla,Alfonso Ãlvarez,Match Report,,La-Liga,12,2017-2018
5.0,Tue,2017-09-19,22:00,Barcelona,2.4,6–1,1.1,Eibar,51645.0,Camp Nou,Alejandro HernÃ¡ndez,Match Report,,La-Liga,12,2017-2018
5.0,Wed,2017-09-20,20:00,Athletic Club,2.2,1–2,2.3,Atlético Madrid,43381.0,San MamÃ©s,Javier Estrada,Match Report,,La-Liga,12,2017-2018
5.0,Wed,2017-09-20,20:00,Leganés,0.9,0–0,0.7,Girona,9781.0,Estadio Municipal de Butarque,Mario Melero,Match Report,,La-Liga,12,2017-2018
5.0,Wed,2017-09-20,21:00,La Coruña,2.1,1–0,0.6,Alavés,18518.0,Estadio Municipal de Riazor,David MediÃ©,Match Report,,La-Liga,12,2017-2018
5.0,Wed,2017-09-20,22:00,Real Madrid,3.1,0–1,0.8,Betis,65102.0,Estadio Santiago BernabÃ©u,Antonio MatÃ©u Lahoz,Match Report,,La-Liga,12,2017-2018
5.0,Wed,2017-09-20,22:00,Sevilla,1.5,1–0,0.2,Las Palmas,35317.0,Estadio RamÃ³n SÃ¡nchez PizjuÃ¡n,JosÃ© GonzÃ¡lez,Match Report,,La-Liga,12,2017-2018
5.0,Thu,2017-09-21,20:00,Villarreal,1.3,0–0,0.7,Espanyol,17094.0,Estadio de la CerÃ¡mica,JosÃ© Munuera,Match Report,,La-Liga,12,2017-2018
5.0,Thu,2017-09-21,21:00,Celta Vigo,0.6,1–1,0.9,Getafe,14700.0,Estadio de BalaÃ­dos,Daniel Trujillo,Match Report,,La-Liga,12,2017-2018
5.0,Thu,2017-09-21,22:00,Levante,1.8,3–0,1.2,Real Sociedad,17415.0,Estadio Ciudad de Valencia,JesÃºs Gil,Match Report,,La-Liga,12,2017-2018
6.0,Sat,2017-09-23,13:00,Atlético Madrid,1.7,2–0,0.5,Sevilla,60823.0,Estadio Wanda Metropolitano,Juan MartÃ­nez,Match Report,,La-Liga,12,2017-2018
6.0,Sat,2017-09-23,16:15,Alavés,0.7,1–2,3.1,Real Madrid,19159.0,Estadio de Mendizorroza,Alberto Undiano,Match Report,,La-Liga,12,2017-2018
6.0,Sat,2017-09-23,18:30,Málaga,1.6,3–3,1.4,Athletic Club,23425.0,Estadio La Rosaleda,Carlos del Cerro,Match Report,,La-Liga,12,2017-2018
6.0,Sat,2017-09-23,20:45,Girona,0.7,0–3,1.1,Barcelona,13305.0,Estadi Municipal de Montilivi,JosÃ© SÃ¡nchez,Match Report,,La-Liga,12,2017-2018
6.0,Sun,2017-09-24,12:00,Espanyol,3.0,4–1,1.4,La Coruña,19585.0,RCDE Stadium,Ricardo de Burgos,Match Report,,La-Liga,12,2017-2018
6.0,Sun,2017-09-24,16:15,Getafe,2.2,4–0,0.6,Villarreal,10874.0,Coliseum Alfonso PÃ©rez,Ignacio Iglesias,Match Report,,La-Liga,12,2017-2018
6.0,Sun,2017-09-24,17:30,Las Palmas,0.6,0–2,1.2,Leganés,17560.0,Estadio de Gran Canaria,Alberola Rojas,Match Report,,La-Liga,12,2017-2018
6.0,Sun,2017-09-24,18:30,Eibar,0.8,0–4,1.4,Celta Vigo,5345.0,Estadio Municipal de IpurÃºa,David FernÃ¡ndez,Match Report,,La-Liga,12,2017-2018
6.0,Sun,2017-09-24,20:45,Real Sociedad,0.8,2–3,1.8,Valencia,20266.0,Estadio Municipal de Anoeta,Santiago Jaime,Match Report,,La-Liga,12,2017-2018
6.0,Mon,2017-09-25,21:00,Betis,1.8,4–0,0.4,Levante,48237.0,Estadio Benito VillamarÃ­n,Pablo GonzÃ¡lez,Match Report,,La-Liga,12,2017-2018
7.0,Fri,2017-09-29,21:00,Celta Vigo,2.3,3–3,1.7,Girona,16126.0,Estadio de BalaÃ­dos,Pablo GonzÃ¡lez,Match Report,,La-Liga,12,2017-2018
7.0,Sat,2017-09-30,13:00,La Coruña,2.0,2–1,1.3,Getafe,19323.0,Estadio Municipal de Riazor,Javier Estrada,Match Report,,La-Liga,12,2017-2018
7.0,Sat,2017-09-30,16:15,Sevilla,1.7,2–0,0.5,Málaga,34430.0,Estadio RamÃ³n SÃ¡nchez PizjuÃ¡n,Daniel Trujillo,Match Report,,La-Liga,12,2017-2018
7.0,Sat,2017-09-30,18:30,Levante,0.7,0–2,2.2,Alavés,18528.0,Estadio Ciudad de Valencia,David FernÃ¡ndez,Match Report,,La-Liga,12,2017-2018
7.0,Sat,2017-09-30,20:45,Leganés,0.6,0–0,1.2,Atlético Madrid,11454.0,Estadio Municipal de Butarque,JesÃºs Gil,Match Report,,La-Liga,12,2017-2018
7.0,Sun,2017-10-01,12:00,Real Sociedad,1.8,4–4,2.0,Betis,19669.0,Estadio Municipal de Anoeta,Alfonso Ãlvarez,Match Report,,La-Liga,12,2017-2018
7.0,Sun,2017-10-01,16:15,Barcelona,2.7,3–0,0.3,Las Palmas,,Camp Nou,JosÃ© Munuera,Match Report,,La-Liga,12,2017-2018
7.0,Sun,2017-10-01,18:30,Valencia,2.2,3–2,1.5,Athletic Club,42070.0,Estadio de Mestalla,Alejandro HernÃ¡ndez,Match Report,,La-Liga,12,2017-2018
7.0,Sun,2017-10-01,18:30,Villarreal,2.5,3–0,0.2,Eibar,17090.0,Estadio de la CerÃ¡mica,Mario Melero,Match Report,,La-Liga,12,2017-2018
7.0,Sun,2017-10-01,20:45,Real Madrid,2.3,2–0,0.4,Espanyol,71205.0,Estadio Santiago BernabÃ©u,JosÃ© GonzÃ¡lez,Match Report,,La-Liga,12,2017-2018
8.0,Fri,2017-10-13,21:00,Espanyol,1.9,0–0,1.2,Levante,19365.0,RCDE Stadium,Alberto Undiano,Match Report,,La-Liga,12,2017-2018
8.0,Sat,2017-10-14,13:00,Athletic Club,1.6,1–0,1.7,Sevilla,40197.0,San MamÃ©s,Ignacio Iglesias,Match Report,,La-Liga,12,2017-2018
8.0,Sat,2017-10-14,16:15,Getafe,1.3,1–2,1.6,Real Madrid,15350.0,Coliseum Alfonso PÃ©rez,Juan MartÃ­nez,Match Report,,La-Liga,12,2017-2018
8.0,Sat,2017-10-14,18:30,Alavés,0.6,0–2,0.6,Real Sociedad,19840.0,Estadio de Mendizorroza,Alberola Rojas,Match Report,,La-Liga,12,2017-2018
8.0,Sat,2017-10-14,20:45,Atlético Madrid,0.5,1–1,1.2,Barcelona,64393.0,Estadio Wanda Metropolitano,Antonio MatÃ©u Lahoz,Match Report,,La-Liga,12,2017-2018
8.0,Sun,2017-10-15,12:00,Eibar,0.6,0–0,0.3,La Coruña,5125.0,Estadio Municipal de IpurÃºa,Santiago Jaime,Match Report,,La-Liga,12,2017-2018
8.0,Sun,2017-10-15,16:15,Girona,1.5,1–2,0.9,Villarreal,9935.0,Estadi Municipal de Montilivi,Carlos del Cerro,Match Report,,La-Liga,12,2017-2018
8.0,Sun,2017-10-15,18:30,Málaga,0.6,0–2,2.0,Leganés,23951.0,Estadio La Rosaleda,JosÃ© GonzÃ¡lez,Match Report,,La-Liga,12,2017-2018
8.0,Sun,2017-10-15,20:45,Betis,2.4,3–6,1.8,Valencia,48792.0,Estadio Benito VillamarÃ­n,JosÃ© SÃ¡nchez,Match Report,,La-Liga,12,2017-2018
8.0,Mon,2017-10-16,20:00,Las Palmas,2.3,2–5,1.2,Celta Vigo,15799.0,Estadio de Gran Canaria,David MediÃ©,Match Report,,La-Liga,12,2017-2018
9.0,Sat,2017-10-21,13:00,Levante,0.5,1–1,0.8,Getafe,18064.0,Estadio Ciudad de Valencia,Ricardo de Burgos,Match Report,,La-Liga,12,2017-2018
9.0,Sat,2017-10-21,16:15,Betis,1.0,2–0,1.2,Alavés,49243.0,Estadio Benito VillamarÃ­n,Daniel Trujillo,Match Report,,La-Liga,12,2017-2018
9.0,Sat,2017-10-21,18:30,Valencia,1.6,4–0,1.1,Sevilla,44307.0,Estadio de Mestalla,Javier Estrada,Match Report,,La-Liga,12,2017-2018
9.0,Sat,2017-10-21,20:45,Barcelona,1.6,2–0,0.8,Málaga,74397.0,Camp Nou,Pablo GonzÃ¡lez,Match Report,,La-Liga,12,2017-2018
9.0,Sun,2017-10-22,12:00,Villarreal,2.5,4–0,1.1,Las Palmas,16606.0,Estadio de la CerÃ¡mica,David FernÃ¡ndez,Match Report,,La-Liga,12,2017-2018
9.0,Sun,2017-10-22,16:15,Celta Vigo,1.2,0–1,0.6,Atlético Madrid,12978.0,Estadio de BalaÃ­dos,JosÃ© Munuera,Match Report,,La-Liga,12,2017-2018
9.0,Sun,2017-10-22,18:30,Leganés,1.0,1–0,0.8,Athletic Club,11454.0,Estadio Municipal de Butarque,Antonio MatÃ©u Lahoz,Match Report,,La-Liga,12,2017-2018
9.0,Sun,2017-10-22,20:45,Real Madrid,1.3,3–0,0.7,Eibar,66781.0,Estadio Santiago BernabÃ©u,Alfonso Ãlvarez,Match Report,,La-Liga,12,2017-2018
9.0,Mon,2017-10-23,20:00,Real Sociedad,1.2,1–1,0.4,Espanyol,18515.0,Estadio Municipal de Anoeta,Mario Melero,Match Report,,La-Liga,12,2017-2018
9.0,Mon,2017-10-23,21:00,La Coruña,1.9,1–2,2.0,Girona,17463.0,Estadio Municipal de Riazor,JesÃºs Gil,Match Report,,La-Liga,12,2017-2018
10.0,Sat,2017-10-28,13:00,Alavés,0.9,1–2,1.2,Valencia,18638.0,Estadio de Mendizorroza,JosÃ© GonzÃ¡lez,Match Report,,La-Liga,12,2017-2018
10.0,Sat,2017-10-28,18:30,Atlético Madrid,1.6,1–1,0.8,Villarreal,61421.0,Estadio Wanda Metropolitano,Alberto Undiano,Match Report,,La-Liga,12,2017-2018
10.0,Sat,2017-10-28,20:45,Athletic Club,1.1,0–2,2.3,Barcelona,43570.0,San MamÃ©s,Juan MartÃ­nez,Match Report,,La-Liga,12,2017-2018
10.0,Sat,2017-10-28,22:30,Sevilla,1.4,2–1,1.1,Leganés,32097.0,Estadio RamÃ³n SÃ¡nchez PizjuÃ¡n,David MediÃ©,Match Report,,La-Liga,12,2017-2018
10.0,Sun,2017-10-29,12:00,Getafe,1.9,2–1,1.1,Real Sociedad,11010.0,Coliseum Alfonso PÃ©rez,JosÃ© SÃ¡nchez,Match Report,,La-Liga,12,2017-2018
10.0,Sun,2017-10-29,16:15,Girona,1.7,2–1,1.4,Real Madrid,13382.0,Estadi Municipal de Montilivi,Alejandro HernÃ¡ndez,Match Report,,La-Liga,12,2017-2018
10.0,Sun,2017-10-29,18:30,Eibar,1.6,2–2,1.0,Levante,5131.0,Estadio Municipal de IpurÃºa,Alberola Rojas,Match Report,,La-Liga,12,2017-2018
10.0,Sun,2017-10-29,20:45,Málaga,1.8,2–1,1.5,Celta Vigo,19541.0,Estadio La Rosaleda,Santiago Jaime,Match Report,,La-Liga,12,2017-2018
10.0,Mon,2017-10-30,20:00,Las Palmas,1.1,1–3,1.6,La Coruña,14805.0,Estadio de Gran Canaria,Carlos del Cerro,Match Report,,La-Liga,12,2017-2018
10.0,Mon,2017-10-30,21:00,Espanyol,0.6,1–0,0.5,Betis,17856.0,RCDE Stadium,Ignacio Iglesias,Match Report,,La-Liga,12,2017-2018
11.0,Fri,2017-11-03,21:00,Betis,1.1,2–2,0.5,Getafe,42323.0,Estadio Benito VillamarÃ­n,Antonio MatÃ©u Lahoz,Match Report,,La-Liga,12,2017-2018
11.0,Sat,2017-11-04,13:00,Valencia,2.2,3–0,1.0,Leganés,39694.0,Estadio de Mestalla,Ricardo de Burgos,Match Report,,La-Liga,12,2017-2018
11.0,Sat,2017-11-04,16:15,La Coruña,0.5,0–1,0.5,Atlético Madrid,22733.0,Estadio Municipal de Riazor,Alfonso Ãlvarez,Match Report,,La-Liga,12,2017-2018
11.0,Sat,2017-11-04,18:30,Alavés,1.6,1–0,1.3,Espanyol,19368.0,Estadio de Mendizorroza,Pablo GonzÃ¡lez,Match Report,,La-Liga,12,2017-2018
11.0,Sat,2017-11-04,20:45,Barcelona,1.8,2–1,0.4,Sevilla,70723.0,Camp Nou,JosÃ© GonzÃ¡lez,Match Report,,La-Liga,12,2017-2018
11.0,Sun,2017-11-05,12:00,Levante,0.6,1–2,1.1,Girona,18324.0,Estadio Ciudad de Valencia,JosÃ© Munuera,Match Report,,La-Liga,12,2017-2018
11.0,Sun,2017-11-05,16:15,Celta Vigo,0.7,3–1,1.6,Athletic Club,19779.0,Estadio de BalaÃ­dos,JesÃºs Gil,Match Report,,La-Liga,12,2017-2018
11.0,Sun,2017-11-05,18:30,Real Sociedad,2.3,3–1,0.5,Eibar,20387.0,Estadio Municipal de Anoeta,Daniel Trujillo,Match Report,,La-Liga,12,2017-2018
11.0,Sun,2017-11-05,18:30,Villarreal,0.9,2–0,0.8,Málaga,17755.0,Estadio de la CerÃ¡mica,Javier Estrada,Match Report,,La-Liga,12,2017-2018
11.0,Sun,2017-11-05,20:45,Real Madrid,2.0,3–0,0.1,Las Palmas,67120.0,Estadio Santiago BernabÃ©u,JosÃ© SÃ¡nchez,Match Report,,La-Liga,12,2017-2018
12.0,Fri,2017-11-17,21:00,Girona,1.2,1–1,1.3,Real Sociedad,10136.0,Estadi Municipal de Montilivi,Ignacio Iglesias,Match Report,,La-Liga,12,2017-2018
12.0,Sat,2017-11-18,13:00,Getafe,2.5,4–1,0.6,Alavés,10014.0,Coliseum Alfonso PÃ©rez,Santiago Jaime,Match Report,,La-Liga,12,2017-2018
12.0,Sat,2017-11-18,16:15,Leganés,1.1,0–3,1.9,Barcelona,11454.0,Estadio Municipal de Butarque,Alberto Undiano,Match Report,,La-Liga,12,2017-2018
12.0,Sat,2017-11-18,18:30,Sevilla,1.3,2–1,1.7,Celta Vigo,35030.0,Estadio RamÃ³n SÃ¡nchez PizjuÃ¡n,Carlos del Cerro,Match Report,,La-Liga,12,2017-2018
12.0,Sat,2017-11-18,20:45,Atlético Madrid,1.1,0–0,1.2,Real Madrid,66496.0,Estadio Wanda Metropolitano,David FernÃ¡ndez,Match Report,,La-Liga,12,2017-2018
12.0,Sun,2017-11-19,12:00,Málaga,1.8,3–2,1.6,La Coruña,24563.0,Estadio La Rosaleda,Juan MartÃ­nez,Match Report,,La-Liga,12,2017-2018
12.0,Sun,2017-11-19,16:15,Espanyol,1.8,0–2,0.8,Valencia,25529.0,RCDE Stadium,Alejandro HernÃ¡ndez,Match Report,,La-Liga,12,2017-2018
12.0,Sun,2017-11-19,17:30,Las Palmas,0.5,0–2,0.6,Levante,26212.0,Estadio de Gran Canaria,Mario Melero,Match Report,,La-Liga,12,2017-2018
12.0,Sun,2017-11-19,20:45,Athletic Club,1.7,1–1,1.7,Villarreal,36666.0,San MamÃ©s,David MediÃ©,Match Report,,La-Liga,12,2017-2018
12.0,Mon,2017-11-20,21:00,Eibar,1.8,5–0,0.9,Betis,4638.0,Estadio Municipal de IpurÃºa,JosÃ© GonzÃ¡lez,Match Report,,La-Liga,12,2017-2018
13.0,Fri,2017-11-24,21:00,Celta Vigo,1.7,1–0,0.8,Leganés,10611.0,Estadio de BalaÃ­dos,Alejandro HernÃ¡ndez,Match Report,,La-Liga,12,2017-2018
13.0,Sat,2017-11-25,13:00,Alavés,0.5,1–2,0.7,Eibar,19272.0,Estadio de Mendizorroza,JosÃ© Munuera,Match Report,,La-Liga,12,2017-2018
13.0,Sat,2017-11-25,16:15,Real Madrid,2.7,3–2,0.4,Málaga,75671.0,Estadio Santiago BernabÃ©u,JesÃºs Gil,Match Report,,La-Liga,12,2017-2018
13.0,Sat,2017-11-25,18:30,Betis,1.1,2–2,1.5,Girona,45681.0,Estadio Benito VillamarÃ­n,Carlos del Cerro,Match Report,,La-Liga,12,2017-2018
13.0,Sat,2017-11-25,20:45,Levante,1.6,0–5,3.0,Atlético Madrid,21549.0,Estadio Ciudad de Valencia,Daniel Trujillo,Match Report,,La-Liga,12,2017-2018
13.0,Sun,2017-11-26,12:00,La Coruña,1.8,2–2,1.1,Athletic Club,20879.0,Estadio Municipal de Riazor,JosÃ© GonzÃ¡lez,Match Report,,La-Liga,12,2017-2018
