Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Alavés,32,27,41.1,38,418,3420,38.0,34,20,28,6,6,111,7,0.89,0.53,1.42,0.74,1.26,37.0,32.5,23.5,56.1,0.97,0.62,1.59,0.86,1.48,299,99,33.1,7.87,2.61,0.09,0.28,16.5,10,0.11,-3.0,-4.5,9724,13753,70.7,207059,86512,3828,4695,81.5,3894,4960,78.5,1814,3529,51.4,-3.5,220,751,177,50,858,11751,2002,25,2598,458,373,136,42,51,11,6874,2348,4531,4294,6628,1070,876,203,58,408,199,385,465,12.24,295,72,20,40,11,53,1.39,31,7,1,6,7,1,613,370,295,269,49,194,33.4,386,1464,26.1,1757,2820,1032,0,456,827,1085,8,17992,2141,563,466,53.6,277,14,9417,84,458,386,12391,9724,78.5,1202,90,100,83,,133,22,187,1.03,34,59,-25,-0.66,37.0,53.2,-16.2,-0.43,3,621,5,14,0,3348,823,617,57.2,La-Liga,12,2019-2020
Athletic Club,26,26,48.7,38,418,3420,38.0,40,23,32,8,10,90,2,1.05,0.61,1.66,0.84,1.45,38.5,31.0,23.6,54.6,1.01,0.62,1.64,0.81,1.44,400,130,32.5,10.53,3.42,0.08,0.25,18.6,14,0.08,1.5,1.0,12589,16607,75.8,263278,92587,4837,5640,85.8,5222,6296,82.9,2312,4050,57.1,-0.6,274,929,223,80,1028,14664,1943,30,2732,652,474,178,60,63,22,9260,3033,4314,4000,9898,929,874,277,70,437,210,417,585,15.39,384,74,42,47,12,57,1.5,38,3,3,5,8,0,578,353,286,219,73,191,30.9,427,1547,28.5,1706,2478,1247,2,474,816,1130,8,20945,2191,655,567,60.3,374,22,12246,93,468,398,15307,12589,82.2,1374,90,100,83,,130,21,189,1.34,41,38,3,0.08,38.5,46.2,-7.7,-0.2,0,522,6,7,2,3458,836,686,54.9,La-Liga,12,2019-2020
Atlético Madrid,30,26,48.5,38,418,3420,38.0,50,35,44,6,8,93,3,1.32,0.92,2.24,1.16,2.08,52.6,46.5,34.4,80.9,1.38,0.9,2.29,1.22,2.13,437,136,31.1,11.5,3.58,0.1,0.32,16.6,12,0.11,-2.6,-2.5,13709,17595,77.9,257089,96920,6091,6947,87.7,5362,6383,84.0,1871,3468,54.0,0.6,329,1037,302,59,1287,15679,1916,49,2731,429,420,183,46,86,20,10695,2609,4291,4090,10967,914,836,226,100,314,222,420,710,18.68,491,83,39,44,10,79,2.08,53,6,8,5,7,0,670,431,310,272,88,261,38.3,421,1532,30.0,1616,2385,1110,1,535,891,990,6,22042,2034,876,585,59.8,372,18,13465,128,519,396,16316,13709,84.0,1619,90,100,82,,130,23,187,1.84,51,27,24,0.63,52.6,30.8,21.8,0.57,2,513,6,4,3,3493,785,695,53.0,La-Liga,12,2019-2020
Barcelona,28,27,66.9,38,418,3420,38.0,84,62,78,6,6,92,6,2.21,1.63,3.84,2.05,3.68,66.2,61.8,48.2,110.0,1.74,1.27,3.01,1.63,2.89,491,214,43.6,12.92,5.63,0.16,0.36,16.8,46,0.13,17.8,16.2,24981,28212,88.5,447366,126905,11376,12316,92.4,10305,11200,92.0,2786,3644,76.5,14.8,383,1884,439,51,1665,26484,1728,109,3916,571,362,185,90,30,3,21537,3652,3023,10123,16258,640,637,307,78,259,419,509,878,23.11,663,39,78,62,8,149,3.92,113,6,12,5,12,1,545,368,224,228,93,166,35.9,296,1487,30.7,1268,2305,1270,4,400,784,638,9,32096,2720,1180,820,62.2,541,27,23589,213,392,366,27494,24981,90.9,1836,90,100,83,,123,22,183,2.16,86,38,48,1.26,66.2,36.0,30.2,0.79,3,416,3,7,1,3094,431,321,57.3,La-Liga,12,2019-2020
Betis,27,27,57.1,38,418,3420,38.0,48,35,42,6,8,108,9,1.26,0.92,2.18,1.11,2.03,47.3,41.4,32.3,73.7,1.24,0.85,2.1,1.09,1.94,461,153,33.2,12.13,4.03,0.09,0.27,17.9,19,0.09,0.7,0.6,16291,19618,83.0,318743,95412,6579,7296,90.2,6841,7658,89.3,2509,3828,65.5,2.7,348,977,340,88,1093,17546,2072,35,3058,632,454,185,53,50,9,13183,2895,3540,7646,9874,674,802,275,67,336,222,463,773,20.34,575,54,54,39,21,78,2.05,54,4,5,6,6,3,534,331,285,190,59,160,32.3,335,1308,26.5,1590,2228,1114,1,421,742,941,5,23922,2708,941,692,64.6,482,27,16015,193,488,406,18549,16291,87.8,1357,90,100,83,,132,20,182,1.08,48,60,-12,-0.32,47.3,49.5,-2.2,-0.06,3,473,6,11,1,2946,559,529,51.4,La-Liga,12,2019-2020
Celta Vigo,30,25,51.9,38,418,3420,38.0,37,26,31,6,9,104,6,0.97,0.68,1.66,0.82,1.5,37.7,30.9,24.9,55.8,0.99,0.65,1.65,0.81,1.47,358,131,36.6,9.42,3.45,0.09,0.24,18.3,23,0.09,-0.7,0.1,14692,18402,79.8,281402,92477,6073,6887,88.2,6253,7223,86.6,2037,3484,58.5,1.1,271,932,255,52,1090,16451,1951,30,3381,495,414,176,51,70,22,11967,2691,3744,5916,10346,692,750,240,60,317,239,504,598,15.74,432,50,38,43,10,65,1.71,40,4,7,4,10,0,619,371,351,217,51,191,33.9,372,1542,28.6,2040,2314,1035,0,419,882,985,4,22702,2428,679,596,61.6,390,16,14522,123,460,450,17193,14692,85.5,1322,90,100,83,,130,20,187,0.97,37,49,-12,-0.32,37.7,42.0,-4.3,-0.11,3,473,6,5,0,3231,637,653,49.4,La-Liga,12,2019-2020
Eibar,26,29,46.3,38,418,3420,38.0,38,24,31,7,10,92,3,1.0,0.63,1.63,0.82,1.45,41.4,33.8,23.7,57.5,1.09,0.62,1.71,0.89,1.51,417,135,32.4,10.97,3.55,0.07,0.23,18.3,21,0.08,-3.4,-2.8,10623,15315,69.4,232440,87898,3962,4793,82.7,4288,5458,78.6,2181,4486,48.6,0.3,276,1036,248,102,1071,13212,2103,16,2740,711,556,189,71,87,12,6949,2787,5579,3509,8562,1239,1012,220,64,515,171,426,604,15.89,390,78,35,44,19,55,1.45,32,4,3,6,8,2,618,370,263,255,100,216,34.7,406,1618,29.3,1386,2572,1557,3,484,882,1046,7,19711,1879,704,439,59.2,284,16,10552,96,526,401,13748,10623,77.3,1521,90,100,84,,128,19,185,1.11,39,56,-17,-0.45,41.4,51.0,-9.6,-0.25,2,538,6,6,1,3933,909,1047,46.5,La-Liga,12,2019-2020
Espanyol,31,27,47.3,38,418,3420,38.0,25,17,21,4,4,107,9,0.66,0.45,1.11,0.55,1.0,33.0,30.1,22.7,52.8,0.87,0.6,1.47,0.79,1.39,400,123,30.8,10.53,3.24,0.05,0.17,18.7,19,0.08,-8.0,-9.1,12032,16181,74.4,249539,88549,4368,5135,85.1,5453,6555,83.2,2015,3897,51.7,-5.7,275,950,246,79,1072,14262,1919,36,2533,519,441,155,49,63,19,8778,2859,4544,4884,8689,968,803,242,53,406,203,427,592,15.58,402,71,34,41,9,39,1.03,25,4,2,5,3,0,640,402,321,254,65,237,34.6,448,1660,28.1,1928,2845,1134,1,453,891,1003,8,20408,2255,652,507,57.0,315,15,11942,94,483,376,14836,12032,81.1,1337,90,100,83,,130,19,189,0.66,27,58,-31,-0.82,33.0,44.4,-11.4,-0.3,6,583,1,5,2,3591,705,747,48.6,La-Liga,12,2019-2020
Getafe,30,27,44.6,38,418,3420,38.0,42,31,36,6,7,135,5,1.11,0.82,1.92,0.95,1.76,37.9,32.6,25.6,58.2,1.0,0.67,1.67,0.86,1.53,397,120,30.2,10.45,3.16,0.09,0.3,18.1,27,0.08,4.1,3.4,8444,13358,63.2,181592,80569,3346,4341,77.1,3093,4354,71.0,1759,3913,45.0,5.4,274,928,278,124,1069,11109,2249,12,2476,620,558,183,39,66,9,5274,2821,5263,3437,6677,1205,1092,128,97,448,196,544,610,16.05,411,73,33,59,10,73,1.92,44,6,11,4,7,1,644,391,260,294,90,203,35.0,377,1865,29.8,1633,3179,1449,2,454,913,1145,4,17758,1587,716,448,58.5,289,13,8691,86,521,410,11585,8444,72.9,1598,90,100,84,,128,19,175,1.42,43,37,6,0.16,37.9,39.0,-1.1,-0.03,2,706,4,6,1,4044,896,1021,46.7,La-Liga,12,2019-2020
Granada,27,26,43.7,38,418,3420,38.0,50,34,45,5,5,109,1,1.32,0.89,2.21,1.18,2.08,40.9,37.1,24.9,62.0,1.08,0.66,1.73,0.98,1.63,384,118,30.7,10.11,3.11,0.12,0.38,18.7,25,0.1,9.1,7.9,9933,13965,71.1,216931,83075,3584,4367,82.1,4181,5192,80.5,1994,3817,52.2,9.1,256,791,185,71,900,11990,1975,18,2640,530,405,162,54,55,15,7190,2429,4346,3782,7685,852,822,219,56,454,188,458,567,14.92,370,75,27,48,17,77,2.03,44,7,3,8,9,6,590,351,258,264,68,183,34.4,349,1577,27.1,1731,2884,1196,0,462,804,1005,4,18072,2365,612,520,58.3,328,22,10152,93,443,343,12437,9933,79.9,1296,90,100,82,,133,24,174,1.47,52,45,7,0.18,40.9,41.1,-0.2,0.0,1,591,3,5,0,3285,686,798,46.2,La-Liga,12,2019-2020
Leganés,29,26,43.8,38,418,3420,38.0,30,19,27,3,5,127,4,0.79,0.5,1.29,0.71,1.21,37.3,33.5,23.8,57.3,0.98,0.63,1.61,0.88,1.51,421,141,33.5,11.08,3.71,0.06,0.19,18.9,27,0.08,-7.3,-6.5,10467,14585,71.8,211269,84034,4453,5225,85.2,3997,4991,80.1,1776,3721,47.7,-4.8,275,879,231,97,954,12591,1994,28,2460,577,521,157,36,85,10,7346,2604,4635,4206,7742,927,885,244,69,417,201,415,613,16.13,418,66,44,46,7,49,1.29,34,3,1,3,7,1,640,389,339,230,71,221,36.7,382,1585,27.7,1855,2620,1248,1,464,889,1063,4,18956,1869,703,576,59.2,378,27,10795,101,454,382,13104,10467,79.9,1334,90,100,82,,130,25,190,0.95,30,51,-21,-0.55,37.3,39.0,-1.6,-0.04,2,591,4,7,1,3523,736,812,47.5,La-Liga,12,2019-2020
Levante,29,27,48.4,38,418,3420,38.0,45,28,40,5,5,79,5,1.18,0.74,1.92,1.05,1.79,41.9,38.1,29.7,67.8,1.1,0.78,1.89,1.0,1.79,416,128,30.8,10.95,3.37,0.1,0.31,18.6,20,0.09,3.1,1.9,12463,16087,77.5,247502,91418,5271,5951,88.6,4931,5823,84.7,2044,3684,55.5,-1.7,311,892,249,77,1141,14156,1931,52,2468,626,444,189,75,47,19,9578,2893,3616,4417,9649,677,748,274,78,391,187,431,674,17.74,492,56,42,39,16,77,2.03,53,3,6,6,8,1,548,319,301,190,57,185,34.1,358,1312,26.3,1706,2244,1040,0,420,812,1005,7,20354,2651,695,670,58.8,429,24,12554,144,459,383,14968,12463,83.3,1398,90,100,84,,134,19,187,1.29,47,53,-6,-0.16,41.9,60.7,-18.8,-0.5,4,467,5,7,2,3117,472,538,46.7,La-Liga,12,2019-2020
Mallorca,32,26,44.6,38,418,3420,38.0,39,21,31,8,10,93,5,1.03,0.55,1.58,0.82,1.37,39.2,31.7,22.2,53.9,1.03,0.58,1.61,0.83,1.42,409,117,28.6,10.76,3.08,0.08,0.26,18.9,22,0.08,-0.2,-0.7,11932,15603,76.5,229905,87464,5139,5914,86.9,4684,5668,82.6,1794,3295,54.4,-1.2,294,822,224,80,936,13645,1958,10,3022,452,454,171,58,57,11,9363,2527,3713,3421,9881,699,789,302,51,345,224,455,659,17.34,458,68,44,58,5,63,1.66,39,1,7,5,11,0,607,389,324,225,58,215,36.3,377,1526,27.1,2031,2512,1083,1,436,849,776,8,19860,2495,737,634,60.3,409,18,12287,161,509,481,14370,11932,83.0,1297,90,100,83,,132,22,185,0.87,40,65,-25,-0.66,39.2,60.6,-21.4,-0.56,4,509,8,16,2,3305,593,674,46.8,La-Liga,12,2019-2020
Osasuna,31,27,47.5,38,418,3420,38.0,46,26,38,8,8,110,6,1.21,0.68,1.89,1.0,1.68,44.5,38.4,29.0,67.4,1.17,0.76,1.93,1.01,1.77,453,142,31.3,11.92,3.74,0.08,0.27,18.3,22,0.09,1.5,-0.4,11102,15680,70.8,233616,91815,4331,5242,82.6,4464,5730,77.9,2107,4051,52.0,-3.0,324,941,277,102,1154,13644,2036,31,2645,629,533,179,62,71,7,7507,3255,4918,4783,7853,1162,925,254,67,448,226,487,700,18.42,504,84,31,34,14,68,1.79,46,7,2,5,5,3,641,389,297,278,66,225,37.8,371,1662,30.3,1525,2722,1244,2,506,896,1117,15,20185,2108,749,539,62.3,358,17,11043,119,506,414,14128,11102,78.6,1565,90,100,83,,129,20,185,1.37,46,54,-8,-0.21,44.5,46.2,-1.7,-0.04,3,551,2,5,0,3942,841,855,49.6,La-Liga,12,2019-2020
Real Madrid,26,27,59.1,38,418,3420,38.0,70,52,59,11,11,82,4,1.84,1.37,3.21,1.55,2.92,63.4,55.0,44.1,99.1,1.67,1.16,2.83,1.45,2.61,552,222,40.2,14.53,5.84,0.11,0.27,17.4,17,0.1,6.6,4.0,20329,23814,85.4,387839,114280,9087,9873,92.0,7796,8690,89.7,3072,4384,70.1,7.9,434,1453,437,104,1479,21985,1829,58,3105,1052,608,193,43,70,12,16697,3193,3924,5513,16135,707,785,378,68,352,302,479,917,24.13,708,63,56,40,16,120,3.16,87,6,5,4,17,1,625,415,272,267,86,207,34.7,390,1507,29.7,1469,2469,1133,3,474,909,603,14,27878,2457,1184,775,59.7,505,21,18870,268,463,353,22895,20329,88.8,1766,90,100,85,,120,18,198,2.29,70,25,45,1.18,63.4,28.4,35.0,0.92,3,487,11,2,0,3291,489,393,55.4,La-Liga,12,2019-2020
Real Sociedad,27,24,56.6,38,418,3420,38.0,53,38,49,4,5,79,2,1.39,1.0,2.39,1.29,2.29,45.2,41.5,32.6,74.1,1.19,0.86,2.05,1.09,1.95,418,139,33.3,11.0,3.66,0.12,0.35,17.2,12,0.1,7.8,7.5,16055,19938,80.5,314338,100328,6069,6985,86.9,7563,8650,87.4,2170,3584,60.5,5.4,320,1085,340,92,1327,17963,1975,35,3360,485,488,180,84,35,16,13156,2890,3892,7018,10366,877,868,231,68,377,279,508,684,18.0,512,58,36,38,14,88,2.32,62,5,5,7,3,6,584,362,259,260,65,221,37.0,377,1496,29.6,1450,2411,1194,1,439,810,971,6,24174,2570,863,591,59.9,372,14,15869,136,452,419,18695,16055,85.9,1696,90,100,83,,126,22,195,1.47,56,48,8,0.21,45.2,39.2,6.0,0.16,2,501,2,9,1,3422,798,647,55.2,La-Liga,12,2019-2020
Sevilla,26,27,58.4,38,418,3420,38.0,53,35,46,7,7,97,1,1.39,0.92,2.32,1.21,2.13,47.1,42.0,32.5,74.5,1.24,0.86,2.1,1.11,1.96,475,163,34.3,12.5,4.29,0.1,0.28,16.5,17,0.09,5.9,4.0,17667,21508,82.1,358713,109972,6788,7605,89.3,7656,8760,87.4,2937,4403,66.7,2.5,352,1265,373,123,1397,19538,1970,46,2923,952,634,229,68,86,6,13919,3382,4207,4827,14267,827,835,291,78,414,253,526,740,19.47,536,71,49,40,10,85,2.24,56,7,8,5,8,1,614,398,293,259,62,265,39.6,405,1540,30.4,1522,2421,1128,3,409,822,1003,9,25805,2395,991,672,64.6,468,15,17051,185,473,449,20175,17667,87.6,1731,90,100,83,,133,23,187,1.84,54,34,20,0.53,47.1,33.6,13.6,0.36,1,522,4,4,1,3442,733,638,53.5,La-Liga,12,2019-2020
Valencia,28,27,48.9,38,418,3420,38.0,44,34,39,5,8,80,8,1.16,0.89,2.05,1.03,1.92,40.3,34.3,29.1,63.4,1.06,0.77,1.83,0.9,1.67,326,112,34.4,8.58,2.95,0.12,0.35,17.5,18,0.11,3.7,4.7,14565,18059,80.7,296827,95694,5483,6173,88.8,6518,7423,87.8,2341,3926,59.6,4.9,254,1015,282,70,1151,16180,1879,24,2741,651,485,169,49,74,13,11646,2641,3772,4544,11484,648,687,322,90,370,236,373,548,14.42,397,52,31,43,11,77,2.03,55,4,9,1,8,0,507,339,264,189,54,182,31.7,393,1356,25.7,1909,2304,1065,1,407,728,956,10,21957,2790,708,557,63.4,376,13,14243,105,444,341,16843,14565,86.5,1413,90,100,83,,132,22,187,1.39,46,53,-7,-0.18,40.3,52.3,-12.0,-0.32,3,416,5,8,1,2913,530,529,50.0,La-Liga,12,2019-2020
Valladolid,30,27,44.3,38,418,3420,38.0,31,19,28,3,6,84,0,0.82,0.5,1.32,0.74,1.24,35.5,30.9,22.4,53.3,0.93,0.59,1.52,0.81,1.4,370,120,32.4,9.74,3.16,0.08,0.23,20.0,30,0.08,-4.5,-2.9,11236,15246,73.7,230593,81657,4424,5173,85.5,4680,5634,83.1,1943,3822,50.8,-3.4,254,822,166,60,872,13252,1994,28,2566,601,450,161,53,51,16,8442,2604,4200,4257,8683,814,804,230,67,405,197,425,584,15.37,407,44,44,53,12,53,1.39,33,2,3,6,7,2,616,400,349,224,43,212,31.3,465,1529,26.5,2084,2688,998,2,501,884,1014,13,19517,2302,547,585,56.4,352,18,11501,101,434,356,13743,11236,81.8,1191,90,100,83,,126,22,179,1.11,32,43,-11,-0.29,35.5,46.3,-10.8,-0.28,0,484,6,8,0,3342,565,727,43.7,La-Liga,12,2019-2020
Villarreal,25,27,53.2,38,418,3420,38.0,62,40,52,10,11,78,1,1.63,1.05,2.68,1.37,2.42,57.0,48.7,37.0,85.7,1.5,0.97,2.48,1.28,2.26,474,157,33.1,12.47,4.13,0.11,0.33,17.9,15,0.1,5.0,3.3,16361,19925,82.1,335324,104151,6123,6861,89.2,7166,8104,88.4,2848,4344,65.6,3.0,349,1162,300,89,1226,18049,1876,47,2792,747,467,147,40,58,12,12949,3052,3924,7290,10444,761,804,277,65,336,247,425,783,20.61,590,56,48,39,14,106,2.79,70,2,9,11,13,1,575,358,261,258,56,214,34.2,411,1540,27.5,1816,2770,1024,1,463,788,992,8,24211,2721,842,675,62.2,447,17,15653,178,484,354,18931,16361,86.4,1537,90,100,84,,132,20,188,1.58,63,49,14,0.37,57.0,44.6,12.4,0.33,0,483,10,9,2,3171,499,596,45.6,La-Liga,12,2019-2020
