Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Ajaccio,26,28,47.5,15,165,1350,15.0,17,13,17,0,0,43,1,1.13,0.87,2.0,1.13,2.0,158,54,34.2,10.53,3.6,0.11,0.31,,90,100,83,101,63,17,39,1.87,17,8,9,0.6,1,244,185,23,242,171,146,,,1,Ligue-2,60,2021-2022
Amiens,27,25,48.3,15,165,1350,15.0,14,8,12,2,2,28,3,0.93,0.53,1.47,0.8,1.33,133,36,27.1,8.87,2.4,0.09,0.33,,90,100,82,96,66,19,38,0.93,14,16,-2,-0.13,2,188,212,17,236,204,154,,,0,Ligue-2,60,2021-2022
Auxerre,20,28,56.7,15,165,1350,15.0,24,18,21,3,3,21,2,1.6,1.2,2.8,1.4,2.6,176,71,40.3,11.73,4.73,0.12,0.3,,90,100,86,123,40,15,65,1.93,25,15,10,0.67,0,191,157,30,279,168,162,,,0,Ligue-2,60,2021-2022
Bastia,21,28,49.4,15,165,1350,15.0,12,10,11,1,1,27,1,0.8,0.67,1.47,0.73,1.4,136,47,34.6,9.07,3.13,0.08,0.23,,90,100,83,110,55,22,48,1.0,12,16,-4,-0.27,0,190,166,37,255,190,144,,,2,Ligue-2,60,2021-2022
Caen,26,26,49.3,15,165,1350,15.0,15,10,13,2,2,19,3,1.0,0.67,1.67,0.87,1.53,168,52,31.0,11.2,3.47,0.08,0.25,,90,100,82,110,53,23,53,1.13,16,16,0,0.0,1,207,199,18,240,192,149,,,1,Ligue-2,60,2021-2022
Dijon,25,27,52.1,15,165,1350,15.0,14,9,13,1,1,31,2,0.93,0.6,1.53,0.87,1.47,189,57,30.2,12.6,3.8,0.07,0.23,,90,100,82,110,53,24,52,1.07,14,21,-7,-0.47,0,216,216,25,302,149,155,,,1,Ligue-2,60,2021-2022
Dunkerque,26,28,45.6,15,165,1350,15.0,14,9,13,1,1,33,2,0.93,0.6,1.53,0.87,1.47,134,44,32.8,8.93,2.93,0.1,0.3,,90,100,83,105,58,19,46,1.07,14,18,-4,-0.27,1,230,254,25,254,164,143,,,1,Ligue-2,60,2021-2022
Grenoble,28,28,48.2,15,165,1350,15.0,15,12,13,2,4,24,2,1.0,0.8,1.8,0.87,1.67,133,44,33.1,8.87,2.93,0.1,0.3,,90,100,81,97,66,20,39,1.4,15,18,-3,-0.2,0,174,180,28,228,187,127,,,1,Ligue-2,60,2021-2022
Guingamp,24,26,53.6,15,165,1350,15.0,17,14,17,0,0,36,1,1.13,0.93,2.07,1.13,2.07,175,51,29.1,11.67,3.4,0.1,0.33,,90,100,83,107,57,20,48,1.2,18,20,-2,-0.13,1,217,211,39,312,164,144,,,0,Ligue-2,60,2021-2022
Le Havre,26,25,44.7,15,165,1350,15.0,13,7,12,1,1,21,2,0.87,0.47,1.33,0.8,1.27,147,45,30.6,9.8,3.0,0.08,0.27,,90,100,84,103,61,17,44,1.67,14,8,6,0.4,0,174,212,16,202,176,136,,,0,Ligue-2,60,2021-2022
Nancy,27,24,53.5,15,165,1350,15.0,11,6,8,3,3,25,5,0.73,0.4,1.13,0.53,0.93,187,50,26.7,12.47,3.33,0.04,0.16,,90,100,83,103,57,18,47,0.8,12,24,-12,-0.8,3,236,238,28,280,148,177,,,1,Ligue-2,60,2021-2022
N̨mes,21,24,53.2,15,165,1350,15.0,17,11,15,2,2,31,0,1.13,0.73,1.87,1.0,1.73,134,49,36.6,8.93,3.27,0.11,0.31,,90,100,84,107,58,17,46,1.13,17,19,-2,-0.13,0,194,186,24,256,156,152,,,0,Ligue-2,60,2021-2022
Niort,23,23,46.9,15,165,1350,15.0,15,13,14,1,1,25,1,1.0,0.87,1.87,0.93,1.8,142,54,38.0,9.47,3.6,0.1,0.26,,90,100,84,105,59,17,44,1.4,16,16,0,0.0,1,183,214,24,198,168,163,,,1,Ligue-2,60,2021-2022
Paris FC,26,26,51.6,15,165,1350,15.0,16,11,15,1,3,18,1,1.07,0.73,1.8,1.0,1.73,190,74,38.9,12.67,4.93,0.08,0.2,,90,100,82,104,61,21,43,1.6,18,15,3,0.2,0,191,159,24,289,143,143,,,1,Ligue-2,60,2021-2022
Pau FC,18,27,47.5,15,165,1350,15.0,15,9,14,1,1,26,3,1.0,0.6,1.6,0.93,1.53,163,64,39.3,10.87,4.27,0.09,0.22,,90,100,82,101,61,20,44,1.4,15,16,-1,-0.07,1,206,190,42,296,172,177,,,1,Ligue-2,60,2021-2022
Quevilly-Rouen,25,26,38.9,15,165,1350,15.0,13,7,11,2,3,31,3,0.87,0.47,1.33,0.73,1.2,135,43,31.9,9.0,2.87,0.08,0.26,,90,100,83,113,50,20,49,1.13,13,19,-6,-0.4,0,254,216,28,188,189,176,,,0,Ligue-2,60,2021-2022
Rodez Aveyron,22,26,47.5,15,165,1350,15.0,16,13,16,0,0,26,2,1.07,0.87,1.93,1.07,1.93,169,64,37.9,11.27,4.27,0.09,0.25,,90,100,82,95,68,19,37,1.27,16,16,0,0.0,1,187,192,23,347,185,122,,,0,Ligue-2,60,2021-2022
Sochaux,23,26,55.9,15,165,1350,15.0,12,9,11,1,1,31,1,0.8,0.6,1.4,0.73,1.33,170,50,29.4,11.33,3.33,0.06,0.22,,90,100,84,100,64,15,42,1.87,14,8,6,0.4,1,193,182,33,294,163,163,,,0,Ligue-2,60,2021-2022
Toulouse,25,25,61.2,15,165,1350,15.0,31,26,28,3,3,29,1,2.07,1.73,3.8,1.87,3.6,205,73,35.6,13.67,4.87,0.14,0.38,,90,100,83,115,49,22,56,2.0,32,13,19,1.27,0,235,159,36,312,168,141,,,1,Ligue-2,60,2021-2022
Valenciennes,25,26,49.1,15,165,1350,15.0,11,9,10,1,1,29,1,0.73,0.6,1.33,0.67,1.27,164,51,31.1,10.93,3.4,0.06,0.2,,90,100,82,111,53,23,51,1.07,12,22,-10,-0.67,0,236,222,31,279,188,165,,,0,Ligue-2,60,2021-2022
